QUERY_ID,RANK,DOC_NAME,SCORE
1,101,www.itba.edu.ar.txt,-2.085365074503585
1,102,www.editorial.unam.edu.ar.txt,-2.0893684419859695
1,103,crubweb.uncoma.edu.ar.txt,-2.0903198433877015
1,104,www.educor.unlu.edu.ar.txt,-2.0903867732814083
1,105,academiacisco.unnoba.edu.ar.txt,-2.091429548179102
1,106,www.unsam.edu.ar.txt,-2.0957047910824724
1,107,criminalisticas.unne.edu.ar.txt,-2.0957295917308114
1,108,teyet-revista.info.unlp.edu.ar.txt,-2.0959910289995047
1,109,auzaweb.uncoma.edu.ar.txt,-2.09879504558071
1,110,www.fpsico.unr.edu.ar.txt,-2.1034259133326345
1,111,www.ingreso.unlp.edu.ar.txt,-2.1051783378244373
1,112,ffyl.uncu.edu.ar.txt,-2.107597551693526
1,113,investigadores.uncoma.edu.ar.txt,-2.1079296211086667
1,114,exa.unne.edu.ar.txt,-2.1084191686988403
1,115,www.untref.edu.ar.txt,-2.1085982828822614
1,116,www.ing.unlpam.edu.ar.txt,-2.1136016923710006
1,117,fadeweb.uncoma.edu.ar.txt,-2.1148833244004552
1,118,www.certificaciones.unlu.edu.ar.txt,-2.115224607581914
1,119,ifas.exa.unicen.edu.ar.txt,-2.115516055097002
1,120,agrobiotecnologia.unsam.edu.ar.txt,-2.1211907583035248
1,121,www.unlpam.edu.ar.txt,-2.1245162232818067
1,122,www.campusvirtualunr.edu.ar.txt,-2.1263815325086277
1,123,www.ingresantes.uner.edu.ar.txt,-2.126451026935673
1,124,faa.unse.edu.ar.txt,-2.127432891817223
1,125,www.graduados.uade.edu.ar.txt,-2.1309163844949475
1,126,www.unq.edu.ar.txt,-2.133061864477785
1,127,www.med.unlp.edu.ar.txt,-2.139314397781826
1,128,economicas2.unlam.edu.ar.txt,-2.1412135433254926
1,129,www.caece.edu.ar.txt,-2.1480009848813966
1,130,www.unrc.edu.ar.txt,-2.1484238725760596
1,131,humanidades.unlam.edu.ar.txt,-2.1500051428867435
1,132,www.eidfs.unsj.edu.ar.txt,-2.1528166050652056
1,133,www.exa.unicen.edu.ar.txt,-2.1599846633395616
1,134,geologia.unsl.edu.ar.txt,-2.164078083337201
1,135,www.iua.edu.ar.txt,-2.1644063799380797
1,136,www.puntoedu.edu.ar.txt,-2.164694352868816
1,137,www.jursoc.unlp.edu.ar.txt,-2.1696243471110264
1,138,humanidades.unsam.edu.ar.txt,-2.170893769968864
1,139,cegae.unne.edu.ar.txt,-2.1713080951643984
1,140,www.biol.unlp.edu.ar.txt,-2.1812522770372804
1,141,www.atlas.unsj.edu.ar.txt,-2.181288288346729
1,142,www.tecnicatura.unt.edu.ar.txt,-2.1848937385851954
1,143,dgti.uncoma.edu.ar.txt,-2.1860423871184773
1,144,www.sociales.unlu.edu.ar.txt,-2.1891910539510695
1,145,www.vet.unicen.edu.ar.txt,-2.1954243519514844
1,146,www.gtec-ce.edu.ar.txt,-2.2061561595718717
1,147,www.eco.unrc.edu.ar.txt,-2.2072340889686903
1,148,becas.unsl.edu.ar.txt,-2.2074944693149328
1,149,rapes.unsl.edu.ar.txt,-2.207959762444509
1,150,www.eco.unlpam.edu.ar.txt,-2.209259046074014
1,151,www.spepsantafe.edu.ar.txt,-2.211787039745475
1,152,aulavirtual.eco.unc.edu.ar.txt,-2.2162137653275416
1,153,campus.administracion.ort.edu.ar.txt,-2.226068292260597
1,154,dcm.unr.edu.ar.txt,-2.226281319763194
1,155,www.uno.edu.ar.txt,-2.2288066742837795
1,156,aulavirtual.cea.unc.edu.ar.txt,-2.2296009013907683
1,157,www.prolab.unlp.edu.ar.txt,-2.229947664539093
1,158,ingenieria.unlam.edu.ar.txt,-2.230053355080714
1,159,www.filo.unt.edu.ar.txt,-2.2329266507818017
1,160,www.cdc.unrc.edu.ar.txt,-2.2338114545085626
1,161,www.seyd.unrc.edu.ar.txt,-2.2340992928486134
1,162,www.odontologia.unt.edu.ar.txt,-2.236100303059197
1,163,www.residencias.unt.edu.ar.txt,-2.238615872705076
1,164,www.analitica.unlu.edu.ar.txt,-2.243150751495668
1,165,www.fbqf.unt.edu.ar.txt,-2.2457318436373717
1,166,www.integra.unlu.edu.ar.txt,-2.2477040406533866
1,167,webmail.mdp.edu.ar.txt,-2.2492259142890845
1,168,trabajando.ucongreso.edu.ar.txt,-2.2512237231474796
1,169,www.neu.unsl.edu.ar.txt,-2.2592509914606325
1,170,www.fcpolit.unr.edu.ar.txt,-2.2651477629720507
1,171,www.iuna.edu.ar.txt,-2.267747172229779
1,172,auapsi.psyche.unc.edu.ar.txt,-2.2718008292639644
